year,new_fraction,chaperoned_fraction,established_fraction
1990,,,
1991,,,
1992,,,
1993,,,
1994,,,
1995,,,
1996,,,
1997,0.847,0.045,0.108
1998,0.631,0.125,0.244
1999,0.500,0.171,0.329
2000,0.456,0.102,0.442
2001,0.445,0.128,0.427
2002,0.468,0.191,0.340
2003,0.402,0.136,0.462
2004,0.432,0.137,0.432
2005,0.290,0.186,0.524
2006,0.456,0.129,0.415
2007,0.428,0.122,0.450
2008,0.370,0.136,0.494
2009,0.376,0.191,0.433
2010,0.365,0.154,0.481
2011,0.367,0.133,0.500
2012,0.276,0.172,0.552
