year,c,C,C_alphabet
1990,0.100,0.522,0.575
1991,0.172,0.719,0.555
1992,0.154,0.710,0.653
1993,0.111,0.517,0.511
1994,0.147,0.912,0.856
1995,0.096,0.490,0.545
1996,0.140,0.646,0.523
1997,0.198,0.825,0.825
1998,0.142,0.758,0.696
1999,0.096,0.570,0.561
2000,0.144,0.768,0.915
2001,0.216,0.801,0.772
2002,0.164,0.653,0.560
2003,0.140,0.629,0.635
2004,0.235,0.977,0.823
2005,0.167,0.616,0.566
2006,0.212,0.780,0.552
2007,0.132,0.534,0.572
2008,0.165,0.600,0.525
2009,0.221,0.748,0.712
2010,0.143,0.458,0.356
2011,0.215,0.969,0.891
2012,0.141,0.439,0.406
