year,c,C,C_alphabet
1990,0.156,0.942,0.688
1991,0.048,0.293,0.154
1992,0.167,1.134,0.724
1993,0.159,0.997,0.448
1994,0.111,0.769,0.615
1995,0.104,0.750,0.459
1996,0.132,0.469,0.578
1997,0.182,0.793,1.178
1998,0.239,1.275,0.695
1999,0.167,0.732,0.947
2000,0.265,0.891,0.790
2001,0.350,1.137,0.886
2002,0.214,0.825,0.642
2003,0.236,0.976,0.814
2004,0.157,0.736,0.580
2005,0.200,0.675,0.453
2006,0.200,0.841,0.601
2007,0.138,0.729,0.602
2008,0.233,1.088,0.777
2009,0.274,1.292,0.832
2010,0.136,0.713,0.696
2011,0.180,0.847,0.624
2012,0.191,0.820,0.373
