year,c,C,C_alphabet
1990,0.091,0.690,0.569
1991,0.065,0.549,0.554
1992,0.087,0.751,0.851
1993,0.149,1.073,1.012
1994,0.082,0.792,0.679
1995,0.066,0.655,0.659
1996,0.078,0.765,0.765
1997,0.074,0.613,0.660
1998,0.095,0.814,0.860
1999,0.099,0.688,0.697
2000,0.106,0.688,0.579
2001,0.117,0.770,1.021
2002,0.094,0.659,0.595
2003,0.126,0.883,1.002
2004,0.124,0.759,0.740
2005,0.118,0.605,0.605
2006,0.140,0.682,0.560
2007,0.141,0.837,0.830
2008,0.130,0.627,0.635
2009,0.122,0.724,0.776
2010,0.098,0.705,0.713
2011,0.131,0.661,0.537
2012,0.073,0.489,0.446
