year,c,C,C_alphabet
1990,0.510,0.891,0.334
1991,0.413,0.960,0.353
1992,0.361,0.741,0.368
1993,0.326,0.727,0.546
1994,0.452,0.883,0.314
1995,0.257,0.591,0.358
1996,0.525,1.182,0.317
1997,0.407,0.705,0.402
1998,0.530,1.043,0.398
1999,0.600,0.958,0.388
2000,0.627,0.951,0.450
2001,0.814,1.009,0.406
2002,0.663,0.864,0.470
2003,0.747,1.137,0.335
2004,0.720,0.976,0.385
2005,0.760,1.096,0.378
2006,0.984,1.320,0.387
2007,0.846,1.068,0.395
2008,0.646,0.882,0.339
2009,0.779,1.108,0.365
2010,0.809,0.995,0.395
2011,0.716,0.999,0.327
2012,0.742,1.127,0.442
