year,c,C,C_alphabet
1990,,,
1991,,,
1992,,,
1993,,,
1994,,,
1995,0.040,0.319,0.679
1996,0.147,0.666,0.216
1997,0.195,0.689,0.297
1998,0.355,1.136,0.499
1999,0.267,0.838,0.524
2000,0.213,0.687,0.536
2001,0.274,0.819,0.345
2002,0.465,1.025,0.372
2003,0.241,0.887,0.555
2004,0.308,0.854,0.519
2005,0.153,0.516,0.282
2006,0.393,1.073,0.641
2007,0.230,0.790,0.398
2008,0.226,0.728,0.544
2009,0.254,0.587,0.378
2010,0.317,0.886,0.224
2011,0.446,1.266,0.504
2012,0.301,0.866,0.525
