year,c,C,C_alphabet
1990,,,
1991,,,
1992,,,
1993,,,
1994,,,
1995,0.041,0.712,0.000
1996,0.071,0.585,0.284
1997,0.136,0.550,0.352
1998,0.125,0.474,0.412
1999,0.258,0.885,0.508
2000,0.285,0.733,0.325
2001,0.344,0.867,0.401
2002,0.291,0.786,0.476
2003,0.416,0.897,0.377
2004,0.498,1.057,0.360
2005,0.398,0.767,0.282
2006,0.450,0.841,0.409
2007,0.594,1.034,0.358
2008,0.543,0.892,0.324
2009,0.569,0.867,0.362
2010,0.735,1.091,0.339
2011,0.811,1.163,0.376
2012,0.779,1.102,0.365
