year,c,C,C_alphabet
1990,0.203,0.824,0.426
1991,0.244,1.104,0.334
1992,0.193,0.911,0.508
1993,0.341,0.939,0.539
1994,0.280,1.124,0.463
1995,0.276,1.214,0.677
1996,0.137,0.715,0.793
1997,0.209,0.874,0.444
1998,0.365,1.390,0.543
1999,0.258,1.095,0.839
2000,0.177,0.687,0.396
2001,0.303,1.030,0.486
2002,0.404,1.107,0.253
2003,0.254,0.787,0.437
2004,0.202,0.713,0.519
2005,0.355,1.051,0.488
2006,0.458,1.339,0.644
2007,0.296,1.055,0.354
2008,0.347,1.152,0.507
2009,0.540,1.628,0.404
2010,0.452,1.383,0.556
2011,0.304,0.922,0.337
2012,0.425,1.180,0.437
