year,c,C,C_alphabet
1990,,,
1991,,,
1992,,,
1993,,,
1994,0.250,1.735,0.771
1995,0.222,0.647,0.766
1996,0.368,1.042,0.395
1997,0.333,0.719,0.889
1998,0.227,0.605,0.326
1999,0.621,1.197,0.661
2000,0.655,1.248,0.414
2001,0.485,0.787,0.504
2002,0.436,1.107,0.403
2003,0.288,0.602,0.436
2004,0.246,0.784,0.442
2005,0.132,0.717,0.592
2006,0.239,0.836,0.431
2007,0.190,0.790,0.423
2008,0.246,1.198,0.878
2009,0.228,0.929,0.340
2010,0.299,0.993,0.376
2011,0.279,0.886,0.407
2012,0.421,1.100,0.249
