year,c,C,C_alphabet
1990,0.071,1.205,0.597
1991,0.065,1.125,0.911
1992,0.042,0.888,0.638
1993,0.065,0.786,0.411
1994,0.041,0.617,0.564
1995,0.033,1.258,0.000
1996,0.068,1.002,0.674
1997,0.011,0.136,0.465
1998,0.072,0.767,0.387
1999,0.079,0.729,0.918
2000,0.000,0.000,0.720
2001,0.050,0.778,0.000
2002,,,
2003,,,
2004,,,
2005,,,
2006,,,
2007,,,
2008,,,
2009,,,
2010,,,
2011,,,
2012,,,
