year,c,C,C_alphabet
1990,,,
1991,,,
1992,,,
1993,,,
1994,,,
1995,0.011,0.191,0.731
1996,0.110,0.757,0.510
1997,0.199,0.910,0.511
1998,0.198,0.705,0.335
1999,0.319,0.849,0.367
2000,0.238,0.735,0.378
2001,0.328,0.831,0.424
2002,0.538,0.998,0.352
2003,0.504,0.962,0.364
2004,0.561,1.042,0.490
2005,0.528,1.222,0.535
2006,0.726,1.137,0.586
2007,0.935,1.290,0.433
2008,0.729,1.319,0.318
2009,0.598,1.253,0.366
2010,0.959,1.773,0.340
2011,0.852,1.679,0.457
2012,0.869,1.761,0.344
