year,c,C,C_alphabet
1990,,,
1991,,,
1992,,,
1993,,,
1994,,,
1995,0.032,1.025,0.819
1996,0.074,1.245,0.418
1997,0.105,0.933,0.546
1998,0.167,1.278,0.672
1999,0.140,0.953,0.449
2000,0.192,1.268,0.675
2001,0.156,0.899,0.862
2002,0.196,0.980,0.535
2003,0.227,1.018,0.645
2004,0.381,1.507,0.483
2005,0.283,1.183,0.310
2006,0.286,1.242,0.398
2007,0.393,1.966,0.593
2008,0.387,1.351,0.560
2009,0.488,1.987,0.612
2010,0.240,0.981,0.503
2011,0.299,1.074,0.847
2012,0.457,1.599,0.546
