year,c,C,C_alphabet
1990,,,
1991,,,
1992,,,
1993,,,
1994,,,
1995,,,
1996,0.063,0.692,0.540
1997,0.184,0.805,0.492
1998,0.248,0.898,0.495
1999,0.253,0.744,0.475
2000,0.271,0.723,0.464
2001,0.404,1.080,0.504
2002,0.344,0.890,0.627
2003,0.378,0.922,0.785
2004,0.299,0.854,0.678
2005,0.518,1.309,0.483
2006,0.648,1.456,0.473
2007,0.689,1.439,0.519
2008,0.511,1.133,0.575
2009,0.644,1.448,0.510
2010,0.701,1.322,0.654
2011,0.792,1.687,0.593
2012,0.674,1.474,0.532
