year,c,C,C_alphabet
1990,,,
1991,,,
1992,,,
1993,,,
1994,,,
1995,,,
1996,,,
1997,0.019,0.477,0.469
1998,0.068,0.555,0.154
1999,0.100,0.461,1.008
2000,0.098,0.572,0.419
2001,0.083,0.558,0.139
2002,0.125,0.516,0.337
2003,0.172,0.937,0.494
2004,0.172,0.810,0.319
2005,0.250,1.060,0.424
2006,0.184,0.885,0.638
2007,0.341,1.244,0.706
2008,0.111,0.636,0.514
2009,0.209,0.844,0.332
2010,0.267,1.140,0.469
2011,0.224,0.919,0.223
2012,0.169,0.744,0.477
