year,c,C,C_alphabet
1990,,,
1991,0.000,nan,nan
1992,0.027,0.821,0.000
1993,0.284,0.983,0.692
1994,0.531,1.181,0.532
1995,0.259,0.584,0.464
1996,0.267,0.695,0.724
1997,0.250,0.840,0.627
1998,0.333,0.898,0.274
1999,0.421,0.999,0.410
2000,0.312,0.818,0.400
2001,0.393,0.875,0.474
2002,0.370,0.749,0.357
2003,0.289,0.896,0.380
2004,0.605,1.190,0.383
2005,0.388,0.918,0.413
2006,0.397,0.906,0.222
2007,0.614,1.289,0.388
2008,0.467,0.924,0.603
2009,0.603,1.166,0.271
2010,0.568,1.164,0.436
2011,0.477,0.845,0.515
2012,0.475,0.944,0.424
