year,c,C,C_alphabet
1990,,,
1991,,,
1992,0.018,0.373,0.188
1993,0.190,0.921,0.504
1994,0.064,0.275,0.264
1995,0.267,1.057,0.622
1996,0.178,0.742,0.440
1997,0.216,0.530,0.594
1998,0.167,0.633,0.863
1999,0.184,0.468,0.564
2000,0.250,0.618,0.449
2001,0.162,0.593,0.333
2002,0.231,0.713,0.343
2003,0.212,0.579,0.796
2004,0.240,0.503,0.441
2005,0.159,0.682,0.564
2006,0.152,0.526,0.992
2007,0.139,0.379,1.067
2008,0.103,0.322,0.262
2009,,,
2010,,,
2011,,,
2012,,,
