year,c,C,C_alphabet
1990,,,
1991,,,
1992,,,
1993,0.027,0.309,0.419
1994,0.125,0.497,0.493
1995,0.167,0.516,0.649
1996,0.123,0.335,0.239
1997,0.277,0.703,0.719
1998,0.158,0.379,0.218
1999,0.308,0.653,0.923
2000,0.394,0.957,0.838
2001,0.192,0.342,0.310
2002,0.353,1.008,0.897
2003,0.200,0.604,0.648
2004,0.258,0.663,0.545
2005,0.278,0.805,0.767
2006,0.423,0.894,0.656
2007,0.147,0.517,0.107
2008,0.250,0.788,0.332
2009,0.302,1.056,0.595
2010,0.188,0.498,0.362
2011,0.139,0.428,0.428
2012,0.300,0.688,0.764
