year,c,C,C_alphabet
1990,0.143,0.961,0.445
1991,0.300,1.034,0.569
1992,0.145,0.628,0.436
1993,0.244,0.827,0.669
1994,0.291,1.161,0.481
1995,0.247,0.837,0.700
1996,0.326,0.982,0.557
1997,0.298,0.997,0.458
1998,0.345,0.926,0.485
1999,0.312,0.867,0.525
2000,0.400,1.000,0.474
2001,0.318,0.868,0.576
2002,0.319,1.224,0.707
2003,0.276,0.882,0.546
2004,0.263,1.017,0.505
2005,0.314,0.871,0.333
2006,0.308,0.920,0.456
2007,0.373,1.030,0.509
2008,0.333,0.965,0.603
2009,0.308,1.041,0.428
2010,0.393,1.330,0.569
2011,0.409,1.224,0.770
2012,0.327,1.019,0.307
