year,c,C,C_alphabet
1990,0.281,0.608,0.630
1991,0.250,0.525,0.549
1992,0.318,0.683,0.491
1993,0.362,0.730,0.610
1994,0.395,0.709,0.472
1995,0.611,0.909,0.531
1996,0.351,0.960,0.741
1997,0.224,0.646,0.773
1998,0.415,1.040,0.396
1999,0.421,0.837,0.808
2000,0.309,0.829,0.589
2001,0.526,1.282,0.837
2002,0.253,0.666,0.466
2003,0.415,0.714,0.592
2004,0.306,0.741,0.363
2005,0.450,1.023,0.924
2006,0.167,0.592,0.570
2007,0.150,0.562,0.588
2008,0.264,0.742,0.745
2009,0.254,0.657,0.335
2010,0.185,0.388,0.524
2011,0.246,0.616,0.378
2012,0.300,0.948,0.738
