year,c,C,C_alphabet
1990,0.314,0.574,0.432
1991,0.375,0.664,0.720
1992,0.454,0.691,0.554
1993,0.301,0.588,0.644
1994,0.316,0.541,0.413
1995,0.310,0.608,0.482
1996,0.320,0.729,0.401
1997,0.440,0.771,0.713
1998,0.343,0.693,0.614
1999,0.420,0.747,0.449
2000,0.385,0.662,0.552
2001,0.390,0.709,0.449
2002,0.276,0.471,0.432
2003,0.417,0.711,0.528
2004,0.440,0.663,0.460
2005,0.523,0.842,0.607
2006,0.431,0.740,0.313
2007,0.355,0.723,0.440
2008,0.339,0.651,0.317
2009,0.671,1.074,0.675
2010,0.477,0.724,0.371
2011,0.500,0.813,0.714
2012,0.500,0.748,0.466
