year,c,C,C_alphabet
1990,0.119,0.650,0.331
1991,0.284,0.865,0.528
1992,0.176,0.706,0.518
1993,0.212,0.739,0.780
1994,0.143,0.702,0.439
1995,0.214,0.822,0.735
1996,0.162,0.741,0.546
1997,0.183,0.682,0.360
1998,0.160,0.631,0.413
1999,0.222,0.901,0.579
2000,0.221,0.678,0.458
2001,0.243,0.772,0.644
2002,0.437,0.863,0.723
2003,0.443,0.814,0.674
2004,0.466,0.615,0.598
2005,0.479,0.783,0.515
2006,0.385,0.775,0.481
2007,0.434,0.884,0.553
2008,0.427,0.787,0.706
2009,0.516,0.866,0.550
2010,0.533,0.957,0.781
2011,0.397,0.846,0.797
2012,0.511,0.798,0.657
