year,c,C,C_alphabet
1990,0.122,0.724,0.362
1991,0.108,0.657,0.582
1992,0.223,0.990,0.435
1993,0.290,1.079,0.444
1994,0.299,1.194,0.673
1995,0.209,0.997,0.638
1996,0.188,0.711,0.739
1997,0.271,0.999,0.483
1998,0.175,0.798,0.507
1999,0.230,0.894,0.339
2000,0.296,0.967,0.719
2001,0.192,0.756,0.542
2002,0.266,0.936,0.359
2003,0.313,1.277,0.695
2004,0.279,0.976,0.483
2005,0.303,0.918,0.630
2006,0.329,1.025,0.591
2007,0.280,0.886,0.472
2008,0.313,0.992,0.433
2009,0.248,0.641,0.487
2010,0.360,0.928,0.524
2011,0.340,1.068,0.460
2012,0.336,0.855,0.368
