year,c,C,C_alphabet
1990,,,
1991,,,
1992,,,
1993,,,
1994,,,
1995,,,
1996,,,
1997,0.017,0.310,0.234
1998,0.098,0.692,0.520
1999,0.111,0.626,0.393
2000,0.184,0.610,0.455
2001,0.178,0.543,0.280
2002,0.183,0.508,0.459
2003,0.225,0.649,0.577
2004,0.149,0.450,0.347
2005,0.238,0.639,0.514
2006,0.235,0.554,0.486
2007,0.246,0.558,0.435
2008,0.257,0.643,0.382
2009,0.314,0.589,0.477
2010,0.266,0.665,0.413
2011,0.286,0.640,0.452
2012,0.294,0.574,0.395
