year,c,C,C_alphabet
1990,,,
1991,,,
1992,,,
1993,,,
1994,0.021,1.177,0.589
1995,0.162,0.960,1.015
1996,0.077,0.547,0.729
1997,0.138,0.786,0.190
1998,0.098,0.538,0.501
1999,0.143,1.144,0.458
2000,0.262,1.020,0.649
2001,0.209,0.953,0.325
2002,0.162,0.744,0.541
2003,0.164,0.599,0.558
2004,0.155,0.741,0.525
2005,0.233,0.786,0.428
2006,0.200,0.827,0.647
2007,0.237,0.977,0.523
2008,0.184,0.863,0.361
2009,0.247,0.905,0.477
2010,0.275,0.965,0.618
2011,0.143,0.642,0.521
2012,0.075,0.446,0.560
