year,c,C,C_alphabet
1990,0.104,0.842,0.647
1991,0.102,0.432,0.352
1992,0.121,0.722,0.781
1993,0.091,0.631,0.490
1994,0.120,0.761,0.685
1995,0.174,0.844,0.368
1996,0.125,0.682,0.401
1997,0.099,0.594,0.462
1998,0.106,0.481,0.592
1999,0.135,0.795,0.680
2000,0.137,0.580,0.552
2001,0.119,0.807,0.692
2002,0.175,0.862,0.702
2003,0.200,0.827,0.862
2004,0.145,0.532,0.400
2005,0.197,0.884,0.457
2006,0.237,1.122,0.768
2007,0.262,0.935,0.549
2008,0.236,0.906,0.499
2009,0.271,0.986,0.558
2010,0.202,0.543,0.366
2011,0.206,0.582,0.416
2012,0.362,0.956,0.624
