year,c,C,C_alphabet
1990,0.720,0.771,0.571
1991,0.683,0.829,0.580
1992,0.629,0.723,0.504
1993,0.713,0.680,0.457
1994,0.665,0.698,0.511
1995,0.643,0.626,0.447
1996,0.772,0.661,0.477
1997,0.746,0.652,0.458
1998,0.727,0.672,0.472
1999,0.777,0.597,0.456
2000,0.760,0.552,0.393
2001,0.680,0.612,0.475
2002,0.702,0.589,0.488
2003,0.724,0.626,0.466
2004,0.611,0.551,0.341
2005,0.458,0.471,0.341
2006,0.577,0.585,0.470
2007,0.730,0.710,0.517
2008,0.553,0.658,0.434
2009,0.633,0.740,0.597
2010,0.632,0.658,0.521
2011,0.711,0.650,0.464
2012,0.580,0.389,0.327
