year,c,C,C_alphabet
1990,,,
1991,,,
1992,,,
1993,,,
1994,0.200,1.085,0.297
1995,0.220,0.693,0.521
1996,0.222,0.698,0.314
1997,0.437,0.696,0.394
1998,0.333,1.043,0.563
1999,0.372,0.645,0.433
2000,0.359,0.695,0.435
2001,0.644,0.931,0.482
2002,0.344,0.595,0.240
2003,0.364,0.749,0.219
2004,0.308,0.633,0.244
2005,0.398,0.764,0.492
2006,0.250,0.710,0.337
2007,0.346,0.749,0.358
2008,0.465,0.817,0.416
2009,0.411,0.643,0.413
2010,0.639,0.995,0.443
2011,0.451,0.749,0.370
2012,0.542,1.293,0.461
