year,c,C,C_alphabet
1990,,,
1991,,,
1992,,,
1993,,,
1994,0.132,0.791,0.577
1995,0.442,0.927,0.542
1996,0.565,0.824,0.491
1997,0.741,0.871,0.435
1998,0.788,0.917,0.598
1999,0.772,0.958,0.568
2000,0.872,0.890,0.536
2001,0.984,1.026,0.521
2002,0.958,1.047,0.437
2003,0.913,0.966,0.423
2004,1.197,1.142,0.565
2005,0.993,0.972,0.502
2006,1.000,1.003,0.599
2007,0.923,0.926,0.498
2008,0.816,0.864,0.440
2009,1.031,1.089,0.461
2010,0.952,0.868,0.464
2011,0.850,0.800,0.430
2012,1.027,1.078,0.478
